ATTN-CIV1-1,ATTN-CIV1-2,ATTN-CIV1-3,ATTN-CIV1-4,ATTN-CIV1-5,ATTN-CIV1-6,ATTN-CIV1-7,DEC-RATE-CIV1,DEC-CIV1-1,WHY-DEC-CIV1,DEC-CIV1-2,"COMPENSATORY-CIV1
1,2,5,1,1,3,1,8,1,If she says she is feeling threatened then she is feeling threatened. We have to trust women when they say things before things get really out of hand. She has no reason to lie. There was multiple times and chances that he had to leave her alone and he didnâ€™t take any of them. I do believe she suffers from emotional distress and I do also believe that I would feel the same way if it was me dealing with this.,1,5000,,,,,,,,,,,,,,,,,,,,,,,,,7,10,10,1,1,10,10,10,3,10,1,1,10,1,3,3,3,10,10,8,4,4,6,1,2,37,1,"3,6",2,,,,,A1YYO9SJRZ6LUY,civ1
1,2,5,1,1,3,1,6,1,going to her place of work and not ordering anything and staring at her.   Thats not a public place and he should not of been there without being a paying customer,1,5000,,,,,,,,,,,,,,,,,,,,,,,,,7,8,10,1,10,8,7,10,2,7,2,1,5,5,8,8,9,10,10,3,1,2,3,7,1,46,1,3,1,1,robbery,guilty,none,A3SXLDDJ42IYKN,civ1
1,2,5,1,1,3,1,4,2,This behavior seems annoying but not dangerous. No threats were made and he did not contact her directly.,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,3,4,4,4,10,4,8,1,1,8,1,7,7,7,8,7,3,2,1,4,1,2,46,1,3,2,,,,,A367XLS03MN4ZH,civ1
1,2,5,1,1,3,1,15,1,"He is obsessed with her and if he is not stopped, he might escalate. ",1,"10,000",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,8,8,10,1,10,1,1,9,1,1,1,1,10,10,7,6,6,1,10,1,73,1,3,2,,,,,A2TXC8Q2IFGRXH,civ1
1,2,5,1,1,3,1,15,1,"The defendant acted in a crazed and obsessive behavior that any reasonable person would consider to be unreasonable, if not downright dangerous and scary. I feel he needs to be taught a lesson, if nothing else.",1,5000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,5,5,10,1,10,1,1,9,1,1,1,1,10,10,8,6,6,1,10,1,45,1,3,2,,,,,A2ZW029G7AOF3B,civ1
1,2,5,1,1,3,1,7,1,I think his actions did rise to the level of stalking but I feel as if the amount of damages is too high.,1,"I would award her $5,000 because I do not think she will endure a great amount of future lost wages.",,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,4,4,6,7,9,2,7,1,1,8,2,5,4,5,9,8,5,4,5,3,6,1,34,1,3,1,1,Battery,Not guilty ,Not guilty,A2K4YS0G1U4YAK,civ1
1,1,4,1,2,1,1,8,1,"Evaluating Evidence: The jury carefully considers all presented evidence, both direct and circumstantial. Direct Evidence: This evidence directly proves a fact without the need for inference, such as eyewitness testimony, confessions, or recordings. Circumstantial Evidence: This evidence implies a fact through inference, such as fingerprints at a crime scene or a suspect's behavior. The jury must logically connect the facts presented to reach a conclusion about guilt or liability.",1,"Compensatory damages are money awarded to an injured party that compensate for damages, injury, or another incurred loss.
",,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,7,8,8,9,8,8,9,8,8,8,8,8,8,8,8,8,8,8,2,41,1,3,1,Each court randomly selects qualified citizens from counties within the district for possible jury service. All courts use the respective state voter lists as a source of prospective jurors,"Felonies, being the more serious category of crime, almost always qualify for a jury trial due to the potential for severe penalties, including lengthy prison sentences. Misdemeanors, while still serious, often carry less severe punishments and, as a result, may not always necessitate a jury trial.","Civil Trials: In a civil trial, the outcome can be a verdict (a decision by a jury) or a judgment (a decision by a judge, especially in bench trials). Possible outcomes include a finding for the plaintiff or the defendant, and if for the plaintiff, the determination of damages (monetary compensation). Damages can be compensatory (to cover losses) or punitive (to punish the defendant). ","Jurors are free to discuss the case after being discharged by the judge, but they are not obligated to do so. Discussions during deliberations are generally protected by confidentiality rules to ensure jurors can freely discuss the case. Attorneys are often interested in speaking with jurors after a hung jury to understand the reasons for the deadlock and potentially adjust their approach for a retrial.",A2Z4L7F6BZ4D9Y,civ1
1,1,5,1,1,3,1,15,1,"The defendant has crossed the line not once, but many times. The defendant is suffering from mental delusions and although it is not up to the court to decide this, it must be entered into the record. His behavior is criminal in nature. Conveniently waiting, watching, approaching and contacting are all unsolicited assaults when they continue after they have been rebuffed. Guilty.",1,$10000 is not sufficient. This creep must be deterred.,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,10,10,10,1,10,1,1,5,1,1,1,1,10,10,7,2,5,1,10,1,74,1,3,2,,,,,AVKMFV9CZ0MLR,civ1
1,1,5,1,1,3,1,15,1,"I made my decision based on the actions of the defendant. I thought about the events and what took place. I thought that the plaintiff gave notice that she wanted to be left alone, yet he persisted. The plaintiff took many actions to have the defendant to leave her alone and let him know she wasn't interested. ",1,10000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,10,10,10,1,10,1,1,10,1,1,1,1,10,10,8,10,10,1,10,2,48,1,3,2,,,,,AZTYIBLLB60V8,civ1
1,2,5,1,1,3,1,3,1,"The plaintiff presented a reasonable case.  The defendant was stalking her and causing her distress.  He persisted in sending emails, following her on campus, contacting one of her professors inappropriately, and ignoring the pleas her roommate presented to him.",1,"I would award her $10,000 to pay her attorney fees and cover some of her lost wages.",,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,1,1,9,9,9,1,9,1,1,7,2,4,3,4,9,9,6,7,4,2,2,1,41,1,3,1,2,One was civil case; criminal case involved domestic violence.,Civil case decided for plaintiff.  Criminal case decided for plaintiff with monetary compensation for injuries sustained.,This never happened to me.,AIEGKVQ47B3FQ,civ1
1,2,5,1,1,3,2,6,1,"I think they are both at fault. But since, I was flagged for a wrong answer on that decision, I have to choose in favor of the Plaintiff. I believe Jessica Klein could have been more clear and explained to the Michael Jones why she did not want to see him anymore. Michael Jones, still overly pursued Jessica Klein, and is at fault for that. ",1,"The amount they are asking is fine, $10k. If the amount contains the lawyer fees, she'll be lucky if she sees any of it.",,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,6,6,9,8,9,6,8,2,1,6,3,9,8,9,6,7,5,2,2,6,2,2,57,1,3,2,,,,,A1UZN21EAN1HZ4,civ1
1,1,5,1,1,1,1,3,2,The defendant has a good case,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,3,4,7,7,7,4,7,3,3,5,2,5,5,6,5,5,2,3,3,4,4,2,32,1,2,2,,,,,A18V6RXKP4CQP,civ1
1,2,5,1,1,3,2,6,1,Although the defendant never physically harmed the plaintiff he did pursue and pressure her after being told to leave her alone and stop all contact with her. He should have left her alone after she asked many times to be left alone. Whatever reason he had to continue to contact her after their breakup was not sufficient enough to continue because she felt unsafe.,1,5000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,2,3,6,5,3,1,6,1,1,7,3,6,5,7,8,8,6,3,2,3,4,1,41,1,2,2,,,,,A1AOHGGVRVIY1V,civ1
1,2,5,2,1,3,1,4,2,I did not see adequate evidence of stalking to justify a claim for such significant financial loss. The situation is unfortunate but I don't see how it clearly rises to the level of civil/legal liability. These experiences are not uncommon given the passionate feelings that young adults often have surrounding their relationships. ,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,3,2,5,3,9,1,6,1,3,4,4,6,6,7,5,5,2,2,1,5,2,1,31,1,3,2,,,,,A2VYAG70VOWXZZ,civ1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASVRLMDNQBUD9,civ1
1,2,5,1,1,3,1,6,1,"it seems clear the the defendant was stalking the plaintiff, possibly non intentionally but none the less pain and suffering was caused by it ",1,"$2,000 ",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,3,1,7,7,10,2,8,1,2,8,3,5,3,3,9,9,6,6,5,4,6,2,55,1,3,1,3,drunk driving ,2 guilty 1 not guilty,have not been in this situation,A361IHMJJJNU2W,civ1
1,1,5,1,1,3,1,15,1,He was stalking her plain and simple.,1,"5,000",,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,10,10,8,1,10,1,1,10,1,1,1,1,10,10,9,10,10,1,8,2,73,1,3,2,,,,,A2YB18JHC2C7GF,civ1
1,2,5,1,1,3,1,6,1,"While there was no physical distress, there was significant emotional distress. He had a repeated pattern of bothering her in excess despite multiple attempts to get him to stop.",1,5000,,,,,,,,,,,,,,,,,,,,,,,,,8,7,8,4,4,8,8,6,3,7,3,3,6,6,5,5,5,6,7,7,8,8,4,6,2,29,1,1,2,,,,,AZ2L6I1CHUDJ2,civ1
1,2,5,1,1,3,1,1,2,The Plaintiff did not mention asking her boss to ban the annoying and non-paying customer from the cafe. She did not mention trying to transfer to another college. She did not mention telling her professor to stop talking with her ex. She did not mention scheduling classes at the same time as several athletic and large friends. She did not mention calling family members to visit her often. She did not exhaust every option before calling upon security and the legal system to help her. Asking for help from security or the legal system is stupid in this kind of situation.,2,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,1,1,7,7,8,3,9,1,6,6,4,7,7,7,10,10,2,1,1,2,1,2,40,1,3,2,,,,,A1R7UW4QNQPKNJ,civ1
1,2,5,1,1,3,1,9,1,"The defendant's actions were enough to make anyone feel scared or threatened...that doesn't necessarily mean they would actually be harmed, but the plaintiff had no way of knowing that for sure. He was asked to back off and he didn't because he thought she was being hard to get. He needs to realize no means no. ",1,5000,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,2,1,8,10,10,2,9,2,3,8,2,3,3,4,9,10,4,5,3,1,9,2,48,1,3,2,,,,,A37XWJJ86PYG9E,civ1
1,2,5,1,1,3,1,5,2,I ruled for the defendant because they had been in a relationship and Jessica had told Michael to email her.  I did not feel that he was a threat.  I also don't think his actions would cause mental distress to a reasonable person. I had a similar situation in college where a guy kept showing up after class or when I was out having lunch and it was annoying but I do not feel it should be considered stalking.,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,6,5,5,6,6,5,5,8,4,5,5,6,5,5,5,2,1,1,5,5,2,71,1,3,1,4,1) civil regarding employment 2) DWI  3) burglary  4) grand jury ,1) defendant prevailed 2) guilty 3) guilty 4) issued true bills or no bill for 6 months,The juries I've been on have reached unanimous verdicts and I personally agreed.  On the grand jury I considered the evidence presented and had to follow the law.  ,AHIP9MIJ8NJXC,civ1
1,2,5,1,1,3,1,3,1,"Iâ€™m kind of regretting the decision I just made.  I think the plaintiff was both fearful and annoyed, but that a reasonable person would only have been annoyed.  I do think the defendant was being innappropriate and annoying, and selfish, and may need this case to get a clue.  I think the plaintiff was unreasonable to expect more security, but tgat Parker is bad at his job, and should have spoken sternly to the defendant, and made it clear he was being told by the school to stop.",1,$800 ,,,,,,,,,,,,,,,,,,,,,,,,,7,8,8,3,3,6,6,9,4,6,3,9,2,7,9,9,9,9,9,3,2,1,4,7,2,55,1,3,1,1,DUI,dismissed,Probably guilty,A2DLH5XGBNYXWS,civ1
1,2,5,1,1,3,1,4,2,"I chose in favor of the defendent because I did not see any direct concrete evidence that he meant to cause the plaintiff harm or distress. Although I am sympathetic to the plaintiff for having to put up with the unwanted attention, I believe it is fair to believe the defendent when he says he had no idea he was causing her distress. ",2,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,2,2,5,4,5,4,6,1,4,4,5,4,4,4,7,5,4,4,4,2,3,2,29,1,3,2,,,,,A2GRL5KL642EVA,civ1
1,2,5,1,1,3,1,6,1,Well the evidence isnâ€™t clear. It would be nice to see the emails but she said the emails started out nice but became aggressive. If thatâ€™s true she would be scared and suffering mentally which would be justified if he needed to pay fir her therapy bills.,1,"5,000",,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,4,7,7,8,8,4,6,3,7,6,5,6,6,6,6,6,6,4,4,5,5,2,38,1,3,2,,,,,A2V6Q551P0ZAAV,civ1
,,,,,,,,,,,,1,2,4,1,1,3,1,8,1,"The largest and most noteworthy factor is Mr. Jones went up to one of her professors, calling himself her boyfriend raising concerns. His defense to that was nonsensical. The security officer of the university admitted that the plaintiff was scared. The chronology of events documenting stalking are far stronger itemized by the plaintiff, and the defendant saying ""she doesn't know how much I loved her"" and things like that indicate he's not respecting her decision. The campus/school had ample opportunity to warn Jones to stay away or be removed from school. I tend to think resources of extra security are ambiguous but the school failed minimal safety here. There's no excuse for the school to not communicate directly to Jones that he either stays away from meeting or directly looking for the plaintiff or he's expelled. Basically, there's too much evidence that he's stalking her and she's scared, even if we can ""guess"" he wouldn't do something, we don't know for sure. I'd say it's far more likely the plaintiff was stalked, the university failed the most minimal responsibilities, and the defendants own testimony is obsessive and refusal to respect her wishes to be left alone.",1,"I would award her $30,000 mostly because while I think it's not a perfect conclusion that the defendant would've done something and while the school has to decide what resources or actions are fair, the school overwhelmingly failed to provide minimal protections. Those minimal protections would've been to tell Jones immediately and unambiguously to stay away from the plaintiff and if there's any direct evidence he's stalking or going out of his way to meet or stalk her, expelling him would be on the table. At the same time, I don't think it requires a huge judgement as the damages are not that large. Essentially I can envision lost wages, stress and mental suffering so I figure 30k might pay her for a free year of tuition thanks to the universities failures.",,,,,,,,,,,,,9,9,8,2,3,7,7,8,2,8,3,3,7,2,3,3,3,9,9,6,7,4,2,8,1,43,1,3,1,2,"I served on a grand jury once where there were endless drug crimes, a few violent crimes, a sexual crime like illegal photos on a computer and such, and things like that. Lots of difference criminal stuff. Then I served a few days on some civil action if my memory serves.",As grand juror probably 95% of our votes were for indictment because the cases brought forward had high evidence. The civil verdict was for the plaintiff I believe.,Every stance I took on a jury vote or verdict was unanimous as far as I remember.,A14OZ27P2ZRJ4T,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,9,1,"The defendant was clearly stalking the plaintiff and I can see why she felt very uneasy and felt like she needed additional protection that she did not receive from campus security. He should not have been at her workplace, he should not have repeatedly reached out to her and it was none of his business if she missed class or not. I can see why she was frightened and felt like she wasn't receiving help.",1,"$5,000 ",,,,,,,,,,,,,8,8,8,1,1,7,7,9,1,8,1,1,8,1,1,1,1,10,10,7,8,7,1,10,2,36,1,3,1,1 time,DUI,Guilty,N/A,A2IIIRZ1UMOND,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,6,1,According to the transcript campus security never even contacted Mr. Jones about his problematic behavior.  Just because he's got nothing in his file to suggest hes a danger.  Doesn't mean he hasn't had a mental break or something of that sort.  They should have at least swung by him doom room and given him a heads up.  Maybe a guy in an authority position would have gotten Mr. Jones to wake up.,1,"$5000, thats just about $200 for therapy every other week for a year.  ",,,,,,,,,,,,,8,8,8,1,2,4,5,10,1,8,1,1,8,1,7,5,6,10,10,6,1,1,4,4,1,43,1,3,2,,,,,A3SKIIKEQV2SSQ,civ3
,,,,,,,,,,,,1,2,4,1,1,3,2,2,2,They had no authority do do anything about this alleged stalking. He had no record and there was no cause for concern other than the plaintiff's complaints.,2,,,,,,,,,,,,,,6,6,7,1,1,5,5,7,1,4,1,4,5,5,7,7,8,2,1,1,1,1,5,1,1,44,1,3,2,,,,,A1PTX4IB9R34LI,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,1,2,Westernshire University appeared to perform as they should have in this situation and no obvious situations putting the plaintif in danger were identified,2,,,,,,,,,,,,,,3,3,3,7,6,5,5,10,1,3,1,7,2,7,5,6,6,5,5,3,2,2,5,1,1,74,1,3,2,,,,,A3QIG18VHBXBSZ,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,6,1,I believe she was truly scared and she tried to follow the proper protocol several times.,1,3000,,,,,,,,,,,,,7,7,7,3,2,7,8,8,3,7,2,7,6,6,7,7,7,8,9,7,2,2,4,3,2,54,1,3,2,,,,,A32GGHVM2WI33B,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,9,1,"I am disappointed that the reaction by the university is similar to what I feel most places do (which is to be reactive rather than proactive and wait until the bad thing happens to actually show any concern). I think it's obvious she feared for her safety, her fears were dismissed, and this guy thought he could just get away with anything and everything and didn't care that he was making her uncomfortable. What a creep. He needs counseling. Gross.",1,"10,000 sounds reasonable to me.",,,,,,,,,,,,,10,10,10,2,1,9,8,10,1,10,1,1,9,1,1,1,1,10,10,9,7,9,1,10,2,47,1,3,2,,,,,A2MFCUR8BF2IBO,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,15,1,I feel the school had done more to engage the stalker and maybe even offer him help or counseling.g,1,"$10,000 ",,,,,,,,,,,,,10,10,9,1,1,10,10,10,1,10,1,1,6,1,10,10,10,10,10,10,6,1,6,1,2,49,1,3,2,,,,,A2IOHBFHRC6LT4,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,15,1,"The security officer testified that he could tell that the plaintiff was scared, but he kept blowing her and her concerns off as if they were nothing. This tells me that the plaintiff was absolutely correct when she said that the University did not do what it should have to help her. In addition, the defendant's statements exhibited clear signs of a stalker's mentality, and thus the University should have taken this case seriously. ",1,15000,,,,,,,,,,,,,9,9,9,1,1,10,10,10,2,10,1,1,6,1,1,1,1,10,10,9,10,10,1,10,2,34,1,3,2,,,,,A1S21CXJ6Y2Y1W,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,6,1,The plaintiff brought up repeated claims to campus security and they did nothing. A visit to Mr. Jones could have stopped his behavior and made him realize the seriousness of the situation.  The plaintiff did suffer enough for me to.feel the 51% threshold had been crossed,1,The full 10000,,,,,,,,,,,,,7,7,8,3,3,7,4,9,2,7,1,5,7,3,4,4,4,9,9,4,6,4,2,3,1,63,1,3,1,1,Prostitution,Guilty,Reached a unanimous verdict,AGT9MCZWXR88C,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,8,1,"Legally speaking, Mr. Jone's behavior met the definition of ""stalking."" Not only this, but the behavior continued even after he was informed that it was causing the plaintiff distress. And, per his own admission, he WAS aware she was in distress by virtue of her missing her classes. In addition to the mental anguish of being stalked, she also suffered academic and financial consequences as a result of his actions. These actions could have been interrupted or inhibited by the University but they declined to intervene at every stage. Early-intervention, such as speaking to Mr. Jones, or providing Ms. Klein with an escort, might have discouraged him from engaging in this behavior. Regardless of physical harm, or the security officer's ""impression"" of Mr. Jone's background and behavior - the fact of the matter is that he was engaging with the plaintiff in a way that was unwanted and distressing. And he was doing this on campus. They had a responsibility to create a safe environment for their student and failed to do so.",1,"8000. I am removing 2000 from the request of 10 because, while Ms. Klein did suffer mentally/financially and physically, she herself never undertook direct action to get Mr. Jones to stop his behavior. She had her roommate ask him to stop, but she never do so herself - opting to intervene through other people only. ",,,,,,,,,,,,,9,10,9,7,2,9,9,10,2,6,2,1,7,2,6,4,4,9,9,7,4,4,2,3,2,36,1,6,2,,,,,A3AMHRLSA2QBLP,civ3
,,,,,,,,,,,,1,2,4,1,1,3,2,5,2,I do believe the defendant was stalked somewhat but there was no actual physical harm to her or a really serious threat.,2,,,,,,,,,,,,,,8,7,6,2,2,8,9,8,1,8,2,7,6,6,3,3,4,9,9,3,6,4,2,6,1,51,1,3,2,,,,,ABQ65VUI4C9RK,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,3,2,I considered the conduct of university security in evaluating the situation. I also considered the lack of any direct threats and how much harm the plaintiff experienced.,2,,,,,,,,,,,,,,9,9,9,2,2,8,7,9,2,9,1,6,8,4,8,8,8,9,9,3,3,3,4,2,2,62,1,3,2,,,,,A3BVSTEODKSODS,civ3
,,,,,,,,,,,,1,2,4,1,1,1,1,6,1,"Even though the Defendant did not cause any physical harm to the Plaintiff or anything she owned, he still continued to pursue her.  Taking pictures of her while she is at work or in public without her knowledge can be harmful.  ",1,"I would award the Plaintiff the $10,000 that she is requesting due to lost wages and mental suffering.  ",,,,,,,,,,,,,8,9,8,2,2,7,9,9,4,8,2,2,8,2,4,6,7,9,9,7,9,7,1,8,2,41,1,"1,3",2,,,,,A2YDCHOB102KD3,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,3,2,I don't feel the plaintiff was in any physical danger. There were no threats made by the alleged stalker.  I feel this was more of an annoyance than anything else. ,2,,,,,,,,,,,,,,7,6,7,5,5,6,1,10,4,5,3,7,4,7,6,5,6,8,8,2,4,1,4,4,2,47,1,3,2,,,,,A3RIRPQUI0EC6D,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,15,1,I believe that she was in danger and no action was taken to protect her.,1,10000,,,,,,,,,,,,,10,10,10,1,1,10,10,10,2,10,1,1,9,1,1,1,1,10,10,10,10,10,1,10,1,70,1,3,2,,,,,A243NJD9LTFL1G,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,7,1,"I think that while she wasnâ€™t directly threatened or at risk of harm, she was clearly uncomfortable enough to go to security about it and have her issues dismissed. So I think that the university should have done more. Though I donâ€™t think that it was an extremely bad decision for the university to not do anything as she wasnâ€™t being threatened severely but they shouldâ€™ve done more than they did",1,"$500. For the mental suffering but she never made it clear how the stalking caused her therapy bills, future lost wages, or anything severe.",,,,,,,,,,,,,7,6,6,1,3,3,6,6,2,3,2,6,3,3,4,5,5,7,6,2,6,7,1,1,1,32,1,3,2,,,,,A3ER1TYH4WEDBH,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,15,1,The safety officer continually dismissed any harm and refused any assistance after multiple contacts from multiple people. ,1,10000,,,,,,,,,,,,,10,10,10,1,1,9,9,6,2,10,1,1,10,1,1,1,1,10,10,8,10,10,1,9,2,43,1,3,2,,,,,A1LFOS4GL90HWU,civ3
,,,,,,,,,,,,1,2,4,1,1,3,1,15,1,It doesnâ€™t matter that the defendant had no prior incidents. They should have looked at his current behavior-not just past behavior. The school has a responsibility to protect their students and ignoring her calls and pleads for protection is a blatant miscarriage of creating a safe space for students. They also failed to recognize the beginning stages of potentially dangerous stalking behavior. ,1,"18,000. Universities regularly scam the students with ridiculous tuition costs despite kids barely learning anymore-now they are just indoctrinated. ",,,,,,,,,,,,,9,9,9,1,1,9,9,9,2,9,1,1,6,2,3,2,8,10,10,9,9,9,2,7,2,30,1,3,2,,,,,AEB0WUDL7N6MS,civ3
